"";"X.cronica";"X.ensayo";"X.prensa";"X.redes"
"adherir";0,5696;1,8795;-0,4677;-2,2803
"rival";-1,4411;-0,3883;0,4811;0,9117
"futuro";-27,5687;-0,5793;-9,7339;33,8834
"realista";-0,9276;0,701;1,7534;-1,5599
"merkel";-2,212;-5,1047;23,1963;-5,8908
"baronn850";-3,7818;-8,7275;-4,5273;23,8793
"igualdad";2,9835;5,4216;-2,5669;-6,8844
"irma";6,6487;-2,3053;0,3292;-2,6603
"robo";3,3274;-1,9593;0,4365;-0,6871
"soñamos";-0,1927;-2,3053;-1,1959;3,7909
"disponibilidad";-1,1417;0,6697;3,2048;-3,0404
"murray";-0,7849;4,1146;-0,4093;-2,0902
"uy";-7,8565;-24,0431;-2,4056;40,6463
"laguna";0,2164;0,701;-0,5277;-0,3124
"bomba";2,5806;0,9984;-0,5083;-3,2323
"resurrección";-1,1417;2,606;-1,3667;-0,3232
"bebida";0,409;-0,9912;6,5936;-5,1307
"decapitar";3,4645;-0,2807;-0,9396;-1,2428
"silencio";17,318;-2,5341;-2,3979;-2,4779
"aqui";-1,3557;-3,1287;-1,623;8,5603
"paciencia";0,5626;-0,3663;-1,4248;0,862
"universitario";5,1748;-0,255;-0,2423;-4,5341
"cobija";4,3553;-2,7993;-0,1944;-0,6508
"lealtad";-0,655;0,42;-0,9204;0,9616
"atentar";1,2873;-0,8977;1,6857;-1,9002
"leche";-0,2193;0,4782;0,8015;-1,0667
"curso";-1,1438;24,6588;-0,6936;-22,5743
"desperdiciar";-0,313;2,2162;-0,9396;-0,7172
"1581";-0,7849;5,5101;-0,9396;-2,0902
"detallar";-2,5538;-8,1956;42,409;-13,8721
"revertir";0,4457;0,3309;1,0547;-1,7216
"huntington";-0,8562;4,5792;-0,4677;-2,2803
"piperthread";-0,9276;-2,1407;-1,1105;5,857
"escobedo";1,9868;-1,6467;1,6857;-1,9002
"contundente";0,9004;-2,1971;0,8391;0,3934
"corregir";-0,4332;2,3476;-0,3735;-1,4498
"jorgeurreta";-1,0703;-2,47;-1,2813;6,7581
"putin";-1,4271;-3,2933;7,4304;-0,6331
"costa";-0,3725;0,9391;9,2791;-13,5912
"coste";-2,7828;17,6039;-3,3314;-6,0606
"costo";0,8374;-5,8764;12,4645;-4,1144
"genio";-0,999;2,5925;-0,2746;-1,1028
"preguntar";21,9715;-5,5376;-10,5411;0,6965
"1530";-0,9276;6,512;-1,1105;-2,4703
"paramédico";8,1957;-1,6467;-0,8542;-1,9002
"habilidad";-1,3141;2,8404;0,6029;-2,1409
"ración";-0,7135;-0,4655;3,3791;-1,088
"autor";-2,4015;6,4788;11,8934;-27,2687
"persistencia";-0,1927;4,3506;-1,1959;-2,6603
"acá";-0,7755;-7,2081;-2,2867;12,8237
"juárez";33,4744;-30,1368;17,5936;-34,7775
"término";-4,4415;49,7444;-0,6712;-41,2734
"cárcel";9,2744;-2,4833;-1,6138;-0,7723
"empresarial";-2,5645;11,9784;0,367;-10,2372
"dictadura";-1,5626;-3,4107;3,8052;1,0462
"racial";-0,5554;6,462;-1,3667;-3,0404
"cristina";0,2472;-3,1287;1,4034;0,7062
"tubo";1,4495;-0,2168;-1,1105;-0,3124
"intervenir";1,8909;1,8683;1,0101;-9,1383
"ofertar";-1,7666;1,2934;2,5474;-2,4531
"abstención";-0,7849;-0,2807;0,9319;0,2317
"bucareli";-0,7135;-1,6467;7,4825;-1,9002
"abono";-0,7849;4,1146;-0,9396;-1,2428
"aca";-0,8562;-1,976;-1,025;5,4065
"demostración";-1,6568;0,5836;-0,2517;0,608
"temeroso";0,2697;3,7037;-0,4898;-3,5826
"dato__";-2,1406;-4,94;-2,5626;13,5163
"desorden";-1,6024;7,2219;0,3847;-6,0406
"savonarola";-1,2844;6,1359;-0,4533;-3,4204
"besar";-0,2746;-1,409;-1,9647;3,7115
"matrimonio";-4,1447;53,7942;-8,5079;-25,2638
"templario33";-1,0703;-2,47;-1,2813;6,7581
"h1jhlc1m7h";-6,5648;-15,15;-7,8589;41,4521
"terremoto";-1,0787;-0,3663;7,4802;-4,3509
"torso";9,8348;-1,976;-1,025;-2,2803
"ad";-0,9276;1,6039;-0,2348;-0,573
"ai";1,6037;-1,976;-1,025;1,0462
"ah";-1,4464;-3,1087;-4,0566;11,212
"am";-0,6597;-1,9956;-0,4533;3,5165
"al";-1,4117;7,1517;-0,3998;-3,8161
"ap";-4,9236;-11,3623;41,26;-7,3003
"as";-1,6412;-0,9818;3,0228;-0,2452
"ar";-0,1927;-2,3053;0,3292;1,5772
"au";-1,7839;-2,2342;-2,1355;8,2455
"at";-1,2314;-4,9898;-2,2794;11,1828
"ay";-1,7462;-8,4158;-5,988;22,2174
"estela";-0,8562;1,2987;1,3238;-2,2803
"existente";-1,9897;15,537;-1,1059;-9,8814
"congreso";1,3046;-14,0227;31,6559;-9,847
"cpi";-1,7839;-4,1167;-2,1355;11,2636
"convivencia";-0,3825;8,2565;-0,6414;-7,597
"lupita";4,1124;-1,976;0,8189;-2,2803
"original";-1,3993;3,3032;3,1011;-6,8032
"jaja";-5,2804;-12,1857;-6,3212;33,3415
"beneficiario";5,589;-1,4649;0,616;-3,6104
"andrea";12,4255;-7,2455;-1,0645;-0,7825
"legitimar";-0,5214;7,2354;-1,9647;-3,2362
"circo";-1,0703;-0,3348;-0,3165;1,3406
"siviaromera1";-1,7125;-3,952;-2,0501;10,813
"convencional";0,2164;1,0977;0,7216;-2,4703
"encarnación";1,5199;1,4197;-1,0484;-2,1108
"exhumación";6,4397;-0,8977;-0,8542;-1,9002
"gitano";-1,1037;-0,6191;-2,2209;3,9837
"surgimiento";-0,5037;6,3042;-0,4455;-5,7007
"monje";-1,3967;8,5792;-1,1751;-3,6918
"desamparar";-1,1037;-1,276;-2,2209;5,5374
"perramalditaaa2";-0,9276;-2,1407;-1,1105;5,857
"revelador";-1,1417;6,462;-1,3667;-2,0499
"enfatizar";0,5034;-1,296;4,1832;-2,4703
"diferente";-1,2981;9,1301;2,3971;-13,3434
"contribución";-0,8771;4,0559;0,4497;-4,1805
"mejorar";-0,3857;-2,3716;3,4292;-0,3098
"procurador";10,9086;-1,1162;-1,2465;-3,5929
"pecho";2,624;-1,7614;-2,8041;1,4774
"delicado";0,3511;-0,4016;0,8476;-0,5578
"impacto";1,11;-1,5675;12,7829;-11,7357
"proverbios";-1,2844;9,0166;-1,5376;-3,4204
"jiménez";0,7458;-3,9202;9,8878;-4,6351
"nación";-1,7219;13,8067;12,7862;-50,0819
"rapidez";-0,4801;4,861;-0,3672;-4,1805
"consuelo";1,6367;-0,2613;0,8805;-2,7221
"dotar";-1,5766;4,7765;1,165;-6,4608
"pana";-1,3557;-3,1287;-1,623;8,5603
"presunción";0,8223;1,925;-1,1959;-1,7216
"pronto";1,0811;10,5857;-0,7735;-13,0341
"perra|perro";1,0745;-5,9281;-0,4454;2,8263
"dedo";2,9011;-0,2723;-0,3352;-1,9009
"escrúpulos";-0,5554;2,606;-0,3604;-1,3782
"subir";4,0418;-6,8536;-2,5584;4,2236
"empapar";5,0288;-0,8977;-0,3526;-1,9002
"lifeofluzdgelo";-2,5688;-5,9281;-3,0751;16,2197
"ministerial";23,2745;-6,2574;-0,7778;-7,221
"arandapaco";-1,3557;-3,1287;-1,623;8,5603
"w";-2,0675;2,013;-0,6679;0,2652
"panza";1,2873;0,4064;-0,8542;-0,5982
"cagados";-0,7849;-1,8113;-0,9396;4,9559
"mediodía";3,8764;-0,3657;0,2436;-3,064
"eléctrico";0,7588;-6,1619;5,5449;-0,5872
"convivir";0,8;-0,2882;1,1359;-1,6833
"debajo";2,8091;1,0904;-1,1536;-2,5875
"asaltar";0,7248;0,7994;0,6916;-2,5652
"vengar|venir";-0,8918;-7,4252;-6,0868;18,5287
"descuidar";1,2873;0,4064;-0,8542;-0,5982
"segundo";1,2905;14,1864;6,9846;-48,5812
"alegría";-2,5737;10,9442;-3,4887;-1,8433
"balcón";0,2499;-0,3515;2,7054;-2,2803
"pasar";1,6965;-66,4894;-1,4572;53,694
"occidente";-5,5245;23,4188;-0,9472;-12,5569
"conservación";-1,9266;1,6492;3,5183;-5,1307
"plan";-6,0341;-25,9445;1,3016;27,7768
"sentar";9,1056;-0,6379;-0,2911;-5,607
"obstante";-6,1411;42,5109;-2,45;-24,4148
"ext";-0,5046;-2,47;9,3786;-2,8503
"apartar";-3,7105;23,9926;-3,3519;-9,8814
"posponer";1,6037;-0,3515;0,8189;-2,2803
"autorización";-0,2902;1,7347;0,7614;-3,2304
"grecia";-0,4549;2,5925;0,3292;-2,6603
"difícil";-1,4704;-0,5778;-1,0521;3,0021
"gratis";-0,9276;-1,296;-1,1105;4,4646
"rubén";12,6973;-5,4341;0,2586;-3,2372
"phrónesis";-0,7135;5,0092;-0,8542;-1,9002
"ser";-5,2325;24,1722;-50,7909;6,6011
"sep";-0,6947;-5,7634;18,807;-5,3453
"sed";-1,9266;1,6492;-0,5781;0,2984
"penuria";-0,5046;5,9883;-1,2813;-2,8503
"cincuenta";-0,887;11,3416;-0,5079;-10,6415
"pagar";10,8841;-4,2323;1,2007;-3,1853
"soy_joshua001";-3,9246;-9,0569;-4,6982;24,7804
"amnistía";2,6302;-0,8772;-0,2746;-0,6767
"imponerse";-1,213;2,9626;0,4427;-2,2162
"agente";19,157;0,9581;0,5296;-30,642
"celeste";-0,9894;4,0468;-0,4476;-1,925
"organizativas";-0,7849;5,5101;-0,9396;-2,0902
"volante";3,3533;-1,0894;-1,2366;-0,2751
"escritorio";6,836;-1,1046;-0,3604;-3,0404
"investigador";0,5416;0,4879;11,4936;-17,2215
"abolir";-0,7135;5,0092;-0,8542;-1,9002
"avión";0,8985;-1,3006;1,6035;-0,7671
"funa";-1,1417;-2,6347;-1,3667;7,2086
"ejecutivo";0,2697;-5,528;26,7324;-12,0422
"judicial";22,1669;-8,9363;9,4319;-26,0741
"formato";-0,5214;-0,6602;6,1677;-3,2362
"dominio";-3,6273;26,3328;-2,3707;-13,1387
"rogar";0,6463;-0,5618;-0,4093;0,4645
"mota";2,1013;-0,7682;0,7216;-1,5599
"confusión";0,683;5,717;-0,8782;-6,2147
"macarena";-1,9266;-4,446;-1,4695;10,464
"excesivo";-1,5576;8,2565;0,6061;-8,7751
"jerez";-4,458;-13,0091;-3,1118;26,9224
"salarial";0,9909;1,7347;-0,406;-3,2304
"2030";-0,999;-1,4329;0,3292;2,1753
"destrozar";1,4427;-1,363;-0,7679;0,7644
"incorporación";-0,231;2,1098;1,165;-5,1672
"sergio_fajardo";-8,563;-19,7612;-10,2509;54,0692
"conversar";3,9835;-1,0894;-1,2366;-0,4149
"juan11743384";-1,9979;-4,6107;-2,3918;12,6152
"debilitar";-2,1406;4,7582;0,3447;-2,7869
"refugio";4,5902;-0,4862;2,2816;-7,8404
"lenin";-0,999;3,3924;-0,5892;-1,1028
"palabra";12,1976;4,3812;-9,0214;-7,3259
"húmedo";1,9172;1,3743;-1,1959;-2,6603
"tgtftxtkqb";-0,7849;-1,8113;-0,9396;4,9559
"existencial";-1,7589;11,1827;-1,553;-4,6846
"emocionar";0,6335;-3,6227;0,4497;1,2844
"sucesivamente";-1,5698;9,3326;-1,8792;-3,064
"bn";-0,3589;-1,976;-1,025;4,0473
"bi";-0,8562;-1,976;-1,025;5,4065
"santo";-2,1833;25,2624;1,0022;-24,0253
"okupen";-0,9276;-2,1407;-1,1105;5,857
"mendoza";1,6293;-7,9042;9,3665;-2,9316
"graduación";3,1454;-1,976;0,8189;-1,4002
"integral";-1,1292;-0,2767;7,1806;-4,5175
"integrar";-0,3393;1,5753;6,6608;-11,9046
"votad";-0,9276;-2,1407;-1,1105;5,857
"textual";2,311;-0,3515;-0,1972;-1,4002
"prensa";2,8997;-8,2528;-0,3338;2,5724
"elpulentodios";-0,9276;-2,1407;-1,1105;5,857
"votar";-31,3066;-82,7397;-1,4798;122,3883
"pastor";-1,7116;12,3146;-2,2203;-4,6473
"humildad";-0,4549;1,3743;-0,5892;-0,3881
"costa|costilla";1,9868;-0,2163;0,2549;-1,9002
"link";-0,7849;-1,8113;-0,9396;4,9559
"impo";-15,414;-35,572;-18,4525;97,332
"españa";-15,3738;0,8588;-0,4735;4,5739
"andrés";-0,6427;-22,1005;50,6325;-9,1403
"hello";-2,4261;-5,5987;-2,9043;15,3186
"atreverse";-0,313;1,543;-0,4093;-0,7172
"ordaz";0,9046;-2,964;5,178;-2,3838
"o5xrjh1ww";-0,999;-2,3053;-1,1959;6,3075
"codo";0,6463;0,3224;0,2144;-0,7172
"seno";-0,779;9,3856;-0,4222;-8,593
"sena";-0,9276;2,9915;-0,5277;-0,9701
"thorror_lover_";-2,1406;-4,94;-2,5626;13,5163
"noción";-1,3746;24,3116;-3,6197;-14,6323
"llama";0,3637;1,2606;0,7298;-3,064
"aulapc_es";-0,8562;-1,976;-1,025;5,4065
"1665";-1,5698;11,0204;-1,8792;-4,1805
"partidista";3,0554;-3,4654;4,7074;-4,1851
"sentencia";5,3094;0,8076;0,9092;-11,0185
"firma";0,3286;-2,3158;13,4882;-7,8657
"firme";-0,3231;0,9247;2,3458;-3,6852
"gustavobolivar";-0,999;-2,3053;-1,1959;6,3075
"normandos";-0,7135;5,0092;-0,8542;-1,9002
"ley";-11,4329;-31,2633;-0,3969;51,8323
"londres";-4,0673;18,9524;-1,7648;-8,1213
"marinero";-0,5554;4,2144;-1,3667;-1,3782
"__________";-4,0673;-9,3862;-4,869;25,6816
"anhelo";0,4442;-0,7121;0,8805;-0,3973
"identitario";-0,9276;6,512;-1,1105;-2,4703
"sustituto";-0,999;5,5164;-0,5892;-2,6603
"legislador";-0,5488;-6,7252;28,3523;-10,1713
"loco";-8,1425;-5,6317;-18,8577;41,4429
"vuestro";-2,9256;0,2594;-3,5022;4,7212
"vuestra";-1,7125;10,2975;-2,0501;-3,4091
"proceso";-2,1315;25,6851;3,3033;-34,4262
"constancia";-0,5037;3,4703;0,3447;-3,5289
"insistencia";0,3144;8,1532;-2,5626;-5,7007
"animar";-1,451;-3,51;-3,0643;11,1666
"animal";-3,0519;20,5558;-6,182;-4,1185
"cristal";4,5768;-0,2767;-2,1294;-1,1843
"especial";-10,1728;-4,6209;61,2723;-13,4822
"ayala";0,3361;-1,6467;1,0645;0,3027
"precario";0,3024;14,2288;-2,0443;-13,302
"m_ebrard";-1,1417;-2,6347;-1,3667;7,2086
"teoría";-2,7716;32,4912;-5,6267;-12,8472
"repercusión";-0,8771;6,7937;-1,1172;-3,064
"méxico";29,0428;-236,2227;Inf;-179,2456
"nancy";1,2873;-1,6467;1,6857;-1,088
"operativo";32,2493;-13,2701;1,6223;-14,3744
"equipamiento";-0,4549;0,93;0,3292;-0,6767
"salvaje";-0,526;5,4709;-1,6178;-2,1841
"indiscutible";-1,6412;2,4507;-0,7105;-0,4018
"descubrimiento";-0,5594;8,1225;-0,8236;-6,0606
"cuándo";0,3395;1,5096;-0,7051;-0,9503
"agricultura";-0,8218;3,0004;0,4994;-2,8926
"jethro";18,0307;-3,6227;-1,8792;-4,1805
"superioridad";-1,4271;5,9191;-0,5523;-2,7221
"súbita";-0,7849;4,1146;-0,9396;-1,2428
"llevarse";1,754;0,789;-0,3165;-2,8503
"ordenador";-1,3557;6,5898;-1,623;-1,8114
"machismo";1,6367;-2,2838;-0,2929;0,6006
"bicho";-0,7849;-0,5618;0,5063;0,8064
"david";-0,3348;-3,1569;19,2426;-8,5184
"fatiga";-1,2844;0,2811;5,178;-3,4204
"estacionamiento";0,5696;-1,976;3,5904;-1,4002
"frustración";-1,5381;2,9384;1,6106;-3,7968
"alidathequeen";-1,9266;-4,446;-2,3063;12,1647
"préstamo";0,3122;1,7347;-0,1944;-2,2162
"legislativo";0,5018;-2,6476;16,5454;-11,5917
"exaltación";-0,7849;4,1146;-0,4093;-2,0902
"persecución";-0,2809;2,7492;1,2994;-5,7371
"rotundo";-5,6372;-6,5016;-5,4889;24,2847
"tóxico";-3,828;15,8727;-4,0394;-3,3881
"marx";-3,1396;15,5434;-1,0645;-8,3611
"unam";4,613;-11,6917;16,5904;-11,8903
"torrent";-1,3557;-3,1287;-1,623;8,5603
"cuauhtémoc";-0,6947;-5,7634;17,3483;-4,3509
"observar";0,3752;8,2391;0,7395;-13,0515
"inicialmente";-0,7849;1,0125;1,4904;-2,0902
"emoción";0,3439;-1,2809;2,6086;-0,7147
"encapuchar";23,971;-5,2694;-2,7334;-4,8121
"latino";-3,5901;0,6256;17,7489;-12,8192
"documento";0,9854;-0,3723;17,5868;-25,1519
"empleo";1,8383;5,6489;0,852;-16,795
"jerarquía";-1,0381;17,9269;-5,1253;-7,6073
"bordo";4,665;-0,7917;0,9864;-4,8121
"24";1,2415;-2,9662;16,8996;-10,2961
"rochaperiodista";-0,7135;-1,6467;-0,8542;4,5054
"activismo";8,5751;-0,9223;-0,4455;-4,4585
"familiasdiversas";-1,4984;-3,458;-1,7938;9,4614
"conspiración";-1,4984;2,3964;1,1808;-2,8926
"reveladora";-1,213;5,6846;-0,406;-3,2304
"plantel";0,5241;-6,9161;16,7868;-6,5999
"lalo";6,5047;-1,976;-1,025;-0,8414
"disminuir";-1,7686;7,9523;4,0037;-18,1793
"credo";-0,7849;3,0574;0,2144;-2,0902
"lyon";-1,6412;11,5213;-1,9647;-4,3705
"censo";-0,713;0,9577;0,9679;-1,2617
"masivo";-6,1411;14,5362;0,7478;-9,1853
"lesionar";-0,3486;-1,7397;8,7793;-3,446
"ambiental";-1,0463;-1,6371;11,9357;-4,7506
"co";-302,3551;-Inf;-Inf;Inf
"cn";-1,0703;-1,5715;-1,2813;5,3059
"cd";-0,3589;-1,976;-1,025;4,0473
"escudo";-1,3967;1,7985;0,5067;-1,0344
"cv";-1,2844;-2,964;8,5505;-1,1373
"productividad";-2,1406;8,1532;-0,2614;-5,7007
"equipo";2,6175;-17,2176;4,7237;1,1725
"considerablemente";-0,9276;3,9141;-0,5277;-1,5599
"gissegarzonm";-0,7849;-1,8113;-0,9396;4,9559
"confesar";0,9684;1,6553;0,2978;-3,281
"referente";0,3144;-1,2668;4,2185;-1,6833
"someterse";0,2499;1,2987;-0,4677;-0,8414
"laschet";-1,213;-2,7993;12,7203;-3,2304
"bala";5,8818;-2,2365;-0,4455;-0,9432
"delicia";-0,2686;1,8452;0,2549;-1,9002
"ataúd";-0,5554;4,2144;-0,3604;-3,0404
"ávila";-0,4006;-2,2838;5,387;-0,9569
"harto";-5,4791;-12,5944;-6,9642;36,1094
"inconsciente";0,3406;3,7672;-0,9659;-2,6839
"momento";4,6048;2,8465;0,7299;-11,9861
"desgraciado";-0,5777;2,0379;0,4653;-1,9258
"barrón";8,1957;-1,6467;-0,8542;-1,9002
"generalizado";-2,4261;5,4653;1,165;-6,4608
"evolucionar";-0,6071;-1,2224;0,4427;1,3796
"auténtico";-4,0131;17,8949;-0,8627;-9,172
"trámite";5,3308;-4,7754;2,0684;-2,6394
"conservador";0,7689;-0,9847;6,0288;-4,831
"seleccionar";-0,3347;3,0712;0,5515;-4,7506
"viceversa";0,2894;1,543;-0,4093;-1,2428
"delicioso";-1,4271;0,557;2,9785;-1,9602
"muro";4,7912;5,6048;-2,1204;-12,5569
"conservar";-1,8747;19,1259;-0,6622;-15,4507
"complicación";0,7358;-0,8977;2,454;-1,9002
"everstrongever";-1,6412;-3,7874;-1,9647;10,3625
"desgracia";-3,8602;22,8537;-1,4902;-11,7149
"cuñado";5,2243;-0,6629;-0,4677;-2,2803
"nunezfeijoo";-1,0703;-2,47;-1,2813;6,7581
"centroamericano";1,4773;-2,7993;4,6021;-3,2304
"golpear";14,8103;-1,7298;1,3027;-12,0614
"voluntad";-1,1528;9,2769;0,5949;-9,2306
"exterminio";-0,7135;3,6534;-0,8542;-1,088
"mobiliario";1,9868;-0,2163;0,2549;-1,9002
"uña";1,1386;0,255;-1,327;0,2584
"guaymas";67,806;-14,1619;-6,052;-16,3426
"decreto";0,3144;1,2242;0,8154;-2,7869
"observdrogasco";-1,4984;-3,458;-1,7938;9,4614
"estricto";-0,7414;4,7623;0,4164;-5,3207
"obispo";-2,5061;10,7947;0,7235;-11,5917
"francisco";5,5437;-4,6941;7,5537;-6,3906
"toribio";-1,0811;-7,2455;26,8067;-8,3611
"rural";-1,1619;16,1323;-0,4223;-16,7227
"vomitar";0,4457;-1,4329;-0,5892;1,5772
"monederojc";-1,213;-2,7993;-1,4521;7,6592
"manir";-0,313;-0,5618;-0,4093;1,2713
"sólido";-0,7532;3,8421;0,9831;-5,1731
"transformador";0,3361;-0,2163;1,6857;-1,9002
"optimista";-0,7849;2,2162;0,2144;-1,2428
"incorporar";0,3204;4,349;1,2471;-10,2393
"huelga";1,6367;1,1806;-0,2929;-3,8005
"__boric";-0,7135;-1,6467;-0,8542;4,5054
"porquería";-1,3557;0,6478;-0,9129;1,0257
"lingüístico";-0,3257;5,0582;-0,8462;-3,4204
"enano";-2,1406;-0,9223;-1,6863;5,3106
"calendario";-0,6597;0,7528;2,086;-2,3838
"coma";-0,3041;-1,5221;2,253;-0,2945
"increíble";-4,1386;-1,0728;-0,4002;4,4849
"congregar";0,8223;-0,5096;2,2134;-2,6603
"hipotecario";-1,213;-1,2224;7,8803;-2,2162
"balance";0,5242;2,1813;0,7428;-5,5237
"instinto";-0,4933;6,5535;-1,0803;-3,8528
"postular";0,4867;-0,4989;-0,7679;0,7644
"frase";0,8758;0,3295;-1,4499;0,4132
"disculpa";1,5199;-0,7989;-0,6039;0,3183
"is";-4,0673;-3,7263;-3,7422;15,4018
"malestar";-1,2198;1,1481;2,7337;-3,2059
"continuar";2,5944;5,4442;1,5806;-19,4051
"durero";-0,9276;6,512;-1,1105;-2,4703
"configurar";-0,5554;3,3464;0,2488;-3,0404
"jamas";-1,0703;-2,47;-1,2813;6,7581
"tolerar";-0,2561;2,606;-0,7156;-1,3782
"objeto";-1,0854;24,6447;-0,4217;-26,159
"poético";0,4457;1,925;-0,2746;-2,6603
"largamos";-1,0703;-2,47;-1,2813;6,7581
"indirectasrock";-1,4984;-3,458;-1,7938;9,4614
"equidad";1,1544;0,557;0,8805;-3,8005
"diferenciar";-0,5777;10,1008;-2,7334;-4,8121
"rolando";-0,7135;-1,6467;5,8103;-1,088
"aprobar";0,2913;-5,1692;12,9585;-2,5617
"aventar";10,3271;-3,1287;-0,9129;-1,8114
"celoso";-1,6979;7,8046;-1,4886;-2,4339
"alarmante";-0,8562;2,599;-0,1972;-1,4002
"ineludible";-0,8562;4,5792;-0,4677;-2,2803
"potenciar";-0,4063;2,23;0,3793;-2,4703
"desprestigiar";-0,2686;-1,6467;-0,8542;3,2216
"pobre";-2,0261;20,2329;-6,4396;-4,6176
"promover";-0,6002;-2,8498;21,1299;-8,8034
"lunes";-5,9143;-32,4331;55,0675;-1,4755
"conocimiento";-1,4107;47,4596;-3,5811;-35,1724
"viuda|viudo";-0,4933;-0,4612;-1,0803;1,8057
"crimen";27,2119;-0,9152;-0,325;-17,995
"anomalía";-0,313;0,6095;-0,9396;0,4645
"liso";-1,0703;-1,5715;0,2861;2,4988
"henry_dotta";-0,7135;-1,6467;-0,8542;4,5054
"disfrute";-0,4549;0,93;0,6373;-1,1028
"tijuana";7,6204;-4,94;2,4323;-5,7007
"bretón";-0,8562;0,8415;1,952;-2,2803
"profecía";-2,5688;16,1354;-2,1294;-6,8409
"_lakaiser";-1,8552;-4,2814;-2,2209;11,7141
"equilibrio";-1,8776;3,9941;0,3962;-2,2503
"aire";2,2155;11,6872;-2,1139;-14,2889
"enfrente";0,8267;-1,4649;1,9215;-0,8507
"saquear";0,777;1,5735;0,3283;-3,5826
"fandom";-0,7849;-1,8113;-0,9396;4,9559
"salvar";5,6413;-0,3884;-0,6074;-2,7371
"oscilación";-0,7135;5,0092;-0,8542;-1,9002
"primario";1,1282;-1,1495;0,9048;-0,5702
"hegemónico";-3,4251;-7,9042;-3,042;19,6797
"transeúntes";-0,7849;0,3224;0,5063;0,2317
"alojamiento";-0,3589;2,599;-0,1972;-2,2803
"renacer";-0,2236;0,2697;0,9447;-0,7854
"sucursal";-0,3589;-0,6629;3,5904;-1,4002
"____minsal";-0,8562;-1,976;-1,025;5,4065
"producir";-19,9485;98,7978;-4,7208;-45,0958
"televisivo";-0,8562;2,599;-0,1972;-1,4002
"apelación";-0,3589;3,4827;-0,4677;-2,2803
"desatar";1,0161;-0,3643;5,8441;-8,2847
"mediación";-0,6597;4,1311;-0,2253;-3,4204
"dt";-1,4271;-3,2933;-1,7084;9,0108
"du";-1,4984;7,5047;-1,7938;-2,1108
"dividir";-0,3439;-0,3144;1,8982;-1,2024
"christian";-0,2686;-0,8977;3,3791;-1,088
"ternuritas";-1,5698;-3,6227;-1,8792;9,9119
"gabgraz";-1,5698;-3,6227;-1,8792;9,9119
"cervantes";-0,2746;1,4971;1,3983;-4,3705
"resentir";-0,4063;-0,2168;-1,1105;1,304
"nene";0,6919;-3,458;-1,7938;3,7772
"pavor";-1,0288;1,3745;0,5986;-1,0038
"anfitrión";0,2777;-2,964;7,306;-2,3838
"demarcación";-0,999;0,3309;3,8115;-2,6603
"heraldodemexico";-2,5688;-5,9281;22,8072;-4,5175
"avanzar";4,7228;-0,358;2,7452;-8,6815
"ambivalente";-0,8562;6,011;-1,025;-2,2803
"cercanía";2,9325;-0,2717;1,1246;-5,0206
"cos";-0,7135;-1,6467;0,5874;1,5539
"cov";-1,5698;-3,6227;16,4617;-4,1805
"ahora";0,3376;-8,9245;-5,7728;19,0963
"94";-0,2561;-0,2163;1,2929;-0,8988
"com";-36,4713;-88,2047;Inf;-81,8374
"col";-0,4398;-2,4293;6,9655;-1,5196
"comadre";5,0288;-0,4655;-0,8542;-1,9002
"artesanal";0,3511;0,4063;1,8341;-3,0404
"balanza";-0,3589;1,8795;-0,1972;-1,4002
"cademocratico";-0,9276;-2,1407;-1,1105;5,857
"hallarse";-1,0703;7,5138;-1,2813;-2,8503
"flexible";-2,4974;12,6895;-0,9729;-6,6509
"reciente|recién";6,6116;-0,466;0,335;-4,9073
"cuernavaca";11,3373;-5,1047;0,5067;-3,6918
"denotar";-0,7135;0,4064;1,6857;-1,088
"pensión";0,4161;0,3207;1,6197;-2,0501
"comparativo";-1,2844;2,0339;0,6846;-1,6647
"limitación";-2,9256;8,0596;-0,2623;-4,4828
"monarca";-0,999;-0,5096;5,9021;-2,6603
"perdedor";-1,2198;4,0633;-0,9948;-1,0719
"recurso";-0,6365;-4,2321;25,2064;-7,1386
"1977";-1,0787;-0,749;-2,0548;4,1677
"agricultor";-0,3589;1,8795;-0,1972;-1,4002
"1973";0,3511;0,4063;1,8341;-3,0404
"decisión";-3,0276;26,8986;2,2589;-32,5879
"1970";0,4019;2,3964;-0,6039;-2,1108
"natal";1,9868;-0,4655;-0,3526;-0,5982
"caprichoso";-0,7135;1,8452;-0,3526;-0,5982
"the";-5,8139;-2,2699;-0,47;8,4595
"reposo";-0,4549;3,3924;-0,2746;-2,6603
"reposa";-0,8562;6,011;-1,025;-2,2803
"tempestad";-2,4478;26,1291;-5,1253;-11,4017
"chingo";-0,4063;-2,1407;-0,5277;3,4043
"barrocopardo2";-0,9276;-2,1407;-1,1105;5,857
"torcer";1,1939;-0,9895;-0,6518;0,5904
"arar";-0,4063;3,9141;-0,5277;-2,4703
"específico";-0,4609;11,8502;0,3648;-15,6164
"capa";-4,1936;28,6381;-5,1685;-10,1713
"mónica";1,0869;-2,6347;2,4711;-0,8988
"ustedes";-1,5709;-54,7179;-20,4423;87,8431
"conurbano";-0,7135;-1,6467;-0,8542;4,5054
"senda";-0,5046;2,965;-0,6518;-1,2389
"fidel";-5,209;-12,0211;0,8381;12,1372
"duolingoespanol";-1,0703;-2,47;-1,2813;6,7581
"cumplimiento";-0,4826;1,5337;4,0697;-8,229
