"";"X.cronica";"X.ensayo";"X.prensa";"X.redes"
"oxenford";-0,8562;-1,976;-1,025;5,4065
"beneficiar";-2,5999;-4,1445;0,5465;6,2235
"tláhuac";0,7399;-2,47;5,4054;-2,8503
"constit";-0,7135;-1,6467;-0,8542;4,5054
"cagones";-7,5639;-17,4556;-9,0549;47,7606
"conjunción";-0,713;3,7014;0,3485;-3,6104
"información";4,9846;-0,4085;12,5987;-25,4847
"verde";3,6767;-6,7079;13,9916;-8,661
"gundyr8ikd";-0,8562;-1,976;-1,025;5,4065
"eventual";-0,5554;0,4063;3,2048;-3,0404
"variable";-1,6568;9,1539;0,3567;-8,7412
"plácido";9,0152;-1,8113;-0,9396;-2,0902
"urgir";-0,4;-4,3766;3,4535;0,5268
"apto";-0,4063;0,701;0,3793;-0,573
"oso";-0,767;0,557;-0,5523;0,6006
"peli";-1,4984;-3,458;-1,0484;7,8674
"macho";-3,8575;-11,1403;-6,6642;31,057
"naturalidad";0,2499;1,8795;-0,4677;-1,4002
"minuto";17,475;-12,7633;1,0713;-2,0478
"colapso";-1,9266;-0,4626;5,7321;-1,7885
"cintura";3,8426;-0,8977;-0,8542;-0,5982
"comisario";-3,672;-19,0433;-12,6944;47,9207
"eliminar";-25,7827;-34,7361;-29,9015;137,4314
"veintena";4,1124;-0,3515;-0,4677;-2,2803
"adorno";-1,8552;13,0241;-2,2209;-4,9406
"desafío";-0,5102;2,0276;1,4563;-4,027
"cumpleaños";4,1134;-2,4293;-0,3292;-0,4671
"reformador";-0,7135;5,0092;-0,8542;-1,9002
"indefinidamente";-1,0703;4,7916;-1,2813;-1,2389
"vínculo";-1,474;24,4582;-3,5428;-12,4853
"mejora";-0,7414;1,1481;1,3081;-1,9174
"medioambiental";-0,7849;3,0574;0,2144;-2,0902
"beneficio";-2,6113;2,4544;5,9646;-7,5529
"encubierto";0,6463;0,6095;-0,9396;-0,3836
"persistir";-0,3486;2,091;2,2485;-7,411
"cuanto";-6,1377;49,3944;-4,7098;-19,9036
"nitidez";-0,999;4,3506;-0,2746;-2,6603
"apostar";0,3432;-0,3907;2,0684;-1,5654
"incrementar";-1,8458;5,4432;7,17;-20,0468
"dosis";-5,2685;-4,0699;47,3849;-20,1435
"colocar";9,1467;-0,9952;3,433;-13,7227
"litro";3,1848;-1,5715;0,9447;-1,885
"brasileño";-1,2844;1,0991;0,6846;-0,7486
"atar";2,9181;0,9738;-1,4248;-2,3043
"mango";0,6463;-0,2807;0,2144;-0,3836
"conversión";-1,9266;13,525;-2,3063;-5,1307
"celac";-8,0634;-18,6084;84,5625;-21,4738
"cólera";-4,1386;26,9514;-4,9544;-9,5052
"pío";-1,1417;6,462;-0,7156;-3,0404
"tula";-2,212;-5,1047;23,1963;-5,8908
"esencialmente";-4,6381;28,5643;-3,4977;-12,3518
"bailase";-2,1406;-4,94;-2,5626;13,5163
"enamorarme";-3,4251;-7,9042;-4,1002;21,6264
"recipiente";0,9158;1,6039;-0,5277;-2,4703
"crédito";-0,2728;2,6484;4,1137;-12,4359
"honduras";1,314;-2,7227;4,4518;-2,417
"mascotas";-1,2784;-4,7754;14,6579;-2,6394
"caracterizar";-2,7746;12,0809;0,6918;-11,6661
"eduardofloma1";-8,563;-19,7612;-10,2509;54,0692
"constante";-4,2881;8,1644;-0,7416;-1,8367
"trauma";-2,4992;-5,5902;2,2183;3,7992
"podem";-1,6412;-3,7874;-1,9647;10,3625
"sonar";-0,5373;-0,4195;-1,7746;2,2152
"afirmación";-1,9651;18,809;-3,2798;-7,9454
"minimizar";-1,3557;3,7014;0,616;-3,6104
"brasil";-2,6982;0,751;6,225;-4,027
"deslizar";0,6016;1,7347;-0,406;-2,2162
"yésica";14,7523;-2,964;-1,5376;-3,4204
"audaz";-0,3589;4,5792;-1,025;-2,2803
"descripción";0,2731;8,7697;-1,5358;-7,1412
"cerebro";-0,4;1,0731;-0,226;-0,7417
"poder";-14,1842;119,6236;-9,2948;-38,8997
"jocasas78";-4,2814;-9,8803;-5,1253;27,0333
"relevancia";-0,3422;1,0005;2,1674;-3,8554
"boleto";-1,2314;-6,2574;-0,3276;7,2824
"ésas";1,7808;-0,2807;0,5063;-2,0902
"limpieza";-0,5324;9,6676;-0,6328;-8,6479
"fraile";-0,7135;3,6534;-0,3526;-1,9002
"procuraduría";58,4447;-15,15;-2,3707;-15,771
"maleficios";-3,4251;24,0449;-4,1002;-9,1213
"strzyzowski";-0,9276;-2,1407;-1,1105;5,857
"biblioteca";-0,931;9,4782;-0,3195;-9,3113
"seguidor";-0,6642;-1,2775;0,9356;0,9117
"tuyos";-0,7135;-1,6467;0,2549;2,2785
"carrion";-0,9276;-2,1407;-1,1105;5,857
"indignación";0,8;1,9657;0,5517;-5,7007
"guterres";-0,7135;-1,6467;7,4825;-1,9002
"blasfemos";-0,7135;5,0092;-0,8542;-1,9002
"temporada";-3,828;-9,6779;11,5944;0,9129
"organización no gubernamental";0,3954;-0,3348;1,4279;-1,2389
"vender";16,69;-4,7393;-0,8861;-2,2397
"punta";0,3406;0,4769;0,3167;-0,6515
"33";-0,4776;0,4927;6,7757;-6,9765
"punto";-4,5523;31,4525;2,2612;-32,5756
"refugiar";2,4746;1,8726;-0,4785;-5,6988
"nápoles";-0,9276;6,512;-1,1105;-2,4703
"augurar";-0,7135;1,8452;0,5874;-1,9002
"entregar";13,8111;-5,0926;6,2785;-12,1789
"filtración";-0,2686;-0,8977;1,0645;0,3027
"ordenanza";-1,4271;10,0185;-1,7084;-3,8005
"inah";-1,6412;-3,7874;17,21;-4,3705
"ilustración__";-0,7849;-1,8113;-0,9396;4,9559
"javier";5,5368;-9,0545;1,5442;-0,5413
"hashtag";5,7629;-1,8113;-0,4093;-1,2428
"título";-4,2113;5,6041;4,6665;-9,6296
"nombramiento";-0,4006;-1,0829;7,4304;-3,8005
"semanario";0,7358;-0,8977;2,454;-1,9002
"infundir";-1,7116;-2,578;0,6848;3,1983
"reaccionar";0,6496;0,8151;0,335;-1,5113
"contemplar";-0,5675;3,2169;1,6279;-6,6021
"manelmarquez";-0,7135;-1,6467;-0,8542;4,5054
"arruinar";-0,3589;0,8415;-1,025;0,3671
"temblor";-1,2833;1,7266;3,7624;-6,0606
"aborto";12,2296;-7,9834;5,3216;-9,6668
"______para";-1,6412;-3,7874;-1,9647;10,3625
"sumo";-0,468;5,9159;-0,4089;-5,5107
"penta";-0,7135;-1,6467;-0,8542;4,5054
"unesco";-0,713;-3,1287;12,2703;-3,6104
"suma";-1,2317;7,5873;2,7989;-17,1028
"líder";3,1504;-24,2584;15,5604;-0,7982
"enero";20,2622;-11,1362;8,258;-19,0141
"salinas";-1,4984;-3,458;3,4539;0,7615
"localización";-0,1936;2,0935;0,5546;-3,8005
"divino";-4,1546;39,4325;-5,4197;-18,1793
"divine";25,205;-3,7476;-3,0751;-6,8409
